cust,monthly_bill,tax_body,biz_type,total_yards,compost,garbage,recycle,needed_recycle,needed_compost,enough_recycle_compost,compost_cost,garbage_cost,recycle_cost
6205,89.71,COUNTY,CONTRACTOR,1.28,0.48,0.32,0.48,0,0,1,0,89.71,0
6205,89.71,COUNTY,CONTRACTOR,1.28,0.48,0.32,0.48,0,0,1,0,89.71,0
6413,665.6,COUNTY,MIXED USE,3.92,1.44,2,0.48,1,1,0,183.04,482.56,0
6413,665.6,COUNTY,MIXED USE,3.92,1.44,2,0.48,1,1,0,183.04,482.56,0
6413,665.6,COUNTY,MIXED USE,3.92,1.44,2,0.48,1,1,0,183.04,482.56,0
6413,665.6,COUNTY,MIXED USE,3.92,1.44,2,0.48,1,1,0,183.04,482.56,0
6413,665.6,COUNTY,MIXED USE,3.92,1.44,2,0.48,1,1,0,183.04,482.56,0
6542,0,COUNTY,WINERY,7,0,3.5,3.5,2,1,0,0,0,0
6542,0,COUNTY,WINERY,7,0,3.5,3.5,2,1,0,0,0,0
6640,514.46,C,RESTAURANT,14.64,6.24,2,6.4,1,1,1,0,439.46,75
6640,514.46,C,RESTAURANT,14.64,6.24,2,6.4,1,1,1,0,439.46,75
6640,514.46,C,RESTAURANT,14.64,6.24,2,6.4,1,1,1,0,439.46,75
6640,514.46,C,RESTAURANT,14.64,6.24,2,6.4,1,1,1,0,439.46,75
6640,514.46,C,RESTAURANT,14.64,6.24,2,6.4,1,1,1,0,439.46,75
6640,514.46,C,RESTAURANT,14.64,6.24,2,6.4,1,1,1,0,439.46,75
6640,514.46,C,RESTAURANT,14.64,6.24,2,6.4,1,1,1,0,439.46,75
6640,514.46,C,RESTAURANT,14.64,6.24,2,6.4,1,1,1,0,439.46,75
6640,514.46,C,RESTAURANT,14.64,6.24,2,6.4,1,1,1,0,439.46,75
6796,1772.84,COUNTY,RESTAURANT,90.56,17.28,4,69.28,2,1,1,0,890.4,804.6500000000001
6796,1772.84,COUNTY,RESTAURANT,90.56,17.28,4,69.28,2,1,1,0,890.4,804.6500000000001
6796,1772.84,COUNTY,RESTAURANT,90.56,17.28,4,69.28,2,1,1,0,890.4,804.6500000000001
6796,1772.84,COUNTY,RESTAURANT,90.56,17.28,4,69.28,2,1,1,0,890.4,804.6500000000001
6796,1772.84,COUNTY,RESTAURANT,90.56,17.28,4,69.28,2,1,1,0,890.4,804.6500000000001
6796,1772.84,COUNTY,RESTAURANT,90.56,17.28,4,69.28,2,1,1,0,890.4,804.6500000000001
6796,1772.84,COUNTY,RESTAURANT,90.56,17.28,4,69.28,2,1,1,0,890.4,804.6500000000001
6796,1772.84,COUNTY,RESTAURANT,90.56,17.28,4,69.28,2,1,1,0,890.4,804.6500000000001
6796,1772.84,COUNTY,RESTAURANT,90.56,17.28,4,69.28,2,1,1,0,890.4,804.6500000000001
6796,1772.84,COUNTY,RESTAURANT,90.56,17.28,4,69.28,2,1,1,0,890.4,804.6500000000001
6796,1772.84,COUNTY,RESTAURANT,90.56,17.28,4,69.28,2,1,1,0,890.4,804.6500000000001
6796,1772.84,COUNTY,RESTAURANT,90.56,17.28,4,69.28,2,1,1,0,890.4,804.6500000000001
6796,1772.84,COUNTY,RESTAURANT,90.56,17.28,4,69.28,2,1,1,0,890.4,804.6500000000001
6796,1772.84,COUNTY,RESTAURANT,90.56,17.28,4,69.28,2,1,1,0,890.4,804.6500000000001
6796,1772.84,COUNTY,RESTAURANT,90.56,17.28,4,69.28,2,1,1,0,890.4,804.6500000000001
6796,1772.84,COUNTY,RESTAURANT,90.56,17.28,4,69.28,2,1,1,0,890.4,804.6500000000001
6835,482.56,COUNTY,WINERY,3.44,0,2,1.44,1,1,0,0,482.56,0
6835,482.56,COUNTY,WINERY,3.44,0,2,1.44,1,1,0,0,482.56,0
6835,482.56,COUNTY,WINERY,3.44,0,2,1.44,1,1,0,0,482.56,0
6835,482.56,COUNTY,WINERY,3.44,0,2,1.44,1,1,0,0,482.56,0
7162,760.91,COUNTY,WINERY,3.44,0,2,1.44,1,1,0,0,760.91,0
7162,760.91,COUNTY,WINERY,3.44,0,2,1.44,1,1,0,0,760.91,0
7162,760.91,COUNTY,WINERY,3.44,0,2,1.44,1,1,0,0,760.91,0
7162,760.91,COUNTY,WINERY,3.44,0,2,1.44,1,1,0,0,760.91,0
