cust,biz_type,total_yards,compost,garbage,recycle,needed_recycle,needed_compost,enough_recycle_compost,compost_cost,garbage_cost,recycle_cost
10488,SCHOOL,4.96,0.48,1.92,2.56,1,1,0,0,349.6,0
10490,SCHOOL,6.96,1.44,2,3.52,1,1,1,0,482.56,0
10500,MINI MART,3.44,0,2,1.44,1,1,0,0,363.91,0
10503,VINEYARD,4,0,0,4,0,0,1,0,0,667.81
10507,WINERY,11.92,0.48,4,7.4399999999999995,2,1,0,0,890.4,75
10510,VINEYARD,4,0,4,0,2,1,0,0,1447.1,0
10512,WINERY,1.44,0.48,0.48,0.48,0,0,1,0,134.57,0
10516,VINEYARD,5.4399999999999995,0,4,1.44,2,1,0,0,890.4,0
10519,WINERY,10.5,0,3.5,7,2,1,0,0,0,0
10521,WINERY,21.439999999999998,6,4,11.44,2,1,1,1168.96,1121.14,150
10522,POSTOFFICE,0.96,0,0.48,0.48,0,0,1,0,134.57,0
10523,WINERY,17.439999999999998,0,4,13.44,2,1,0,0,890.4,817.81
10524,GROCERY,15.76,5.76,6,4,3,2,1,0,1298.25,75
10525,WINERY,12.56,2.56,6,4,3,2,1,360.8,2133.3,1085.33
10531,VINEYARD,8,0,4,4,2,1,0,0,1447.1,1085.33
10532,WINERY,25.439999999999998,4,6,15.44,3,2,1,605.47,1298.25,817.81
10535,VINEYARD,4.48,0,4,0.48,2,1,0,0,890.4,0
10550,AUTO,3.44,0,2,1.44,1,1,0,0,363.91,0
10553,CONTRACTOR,4.32,1.92,0,2.4,0,0,1,66.56,0,73.41
10556,WINERY,27.92,0,6,21.92,3,2,0,0,973.95,298.40999999999997
10558,GROCERY,97.19999999999999,5.76,36,55.44,18,12,0,0,6758.91,225
10561,MULTIFAMIL,29.6,5.280000000000001,16,8.32,8,5,1,206.52,3160.6,75
10613,CONTRACTOR,2,0,2,0,1,1,0,0,482.56,0
10626,HOME IMPRO,18,0,2,16,1,1,0,0,363.91,150
10628,MEDICAL,4.4,0.48,2,1.92,1,1,0,0,439.46,76
10638,OFFICE BLD,3.44,0,2,1.44,1,1,0,0,363.91,0
10642,LODGING,2.96,0,2,0.96,1,1,0,0,363.91,0
10648,WINERY,13.76,0.32,8,5.4399999999999995,4,3,0,0,2242.26,667.81
10669,WINERY,1.12,0,0.64,0.48,0,0,1,0,116.53,0
10730,WINERY,24.96,0,16,8.96,8,5,0,0,3412.2,150
10771,WINERY,24,0,4,20,2,1,0,0,890.4,225
10778,ENTERTAINM,0.64,0,0.16,0.48,0,0,1,0,32.62,0
10791,WINERY,1.28,0.48,0.32,0.48,0,0,1,0,131.25,0
10831,OFFICE BLD,4.88,0.96,2,1.92,1,1,0,66.56,363.91,73.41
10870,WINERY,14,0,4,10,2,1,0,0,890.4,150
10922,OFFICE BLD,20.48,0,16,4.48,8,5,0,0,2557.94,75
10924,HOME IMPRO,1.28,0.48,0.32,0.48,0,0,1,0,89.71,0
10929,WINERY,1.44,0.48,0.48,0.48,0,0,1,0,134.57,0
10959,WINERY,14.719999999999999,0.8,2,11.92,1,1,0,0,482.56,250.93
10964,UTILITY,8.48,0,4,4.48,2,1,0,0,668.93,75
11025,MULTIFAMIL,3.36,0.48,0.96,1.92,0,0,1,0,33.78,0
11049,WINERY,69.92,0,16,53.92,8,5,0,0,3412.2,625.9300000000001
11086,VINEYARD,2.96,0.48,2,0.48,1,1,0,0,482.56,0
11110,MEDICAL,0.96,0.48,0.48,0,0,0,1,0,103.93,0
11132,MULTIFAMIL,5.6,2.4,0.8,2.4,0,0,1,0,33.78,0
11147,MOBILEHOME,213.76000000000002,91.2,30.400000000000002,92.16000000000001,15,10,1,0,33.78,159.5
11157,RETAIL,0.16,0,0.16,0,0,0,1,0,32.62,0
11162,WINERY,14.720000000000002,0.32,8,6.400000000000001,4,3,0,0,2894.22,175.93
11174,WINERY,6.24,0.8,4,1.44,2,1,0,0,890.4,0
11224,MULTIFAMIL,2.4,0.48,0.48,1.44,0,0,1,0,103.92,0
11255,SCHOOL,10.48,0.48,6,4,3,2,0,0,973.95,75
11256,SCHOOL,8.96,6.5600000000000005,0,2.4,0,0,1,0,0,73.41
11282,COMMUNITY,1.76,0.8,0.48,0.48,0,0,1,0,97.87,0
11302,WINERY,19.92,6.48,4,9.44,2,1,1,662.29,668.93,150
11309,WINERY,38,0,4,34,2,1,0,0,1252.72,2470.84
11342,BAR NO FW,2,0,2,0,1,1,0,0,435.94,0
11349,PARK,1.92,0,0.96,0.96,0,0,1,0,365.88,0
11370,WINERY,67.92,0.48,6,61.44,3,2,0,0,1298.25,1267.81
11402,LODGING-FW,49.2,12.48,6,30.720000000000002,3,2,1,0,1188.51,454
11436,WINERY,8.4,4.48,2,1.92,1,1,1,454.87,363.91,73.41
11451,MULTIFAMIL,5.92,0.96,4,0.96,2,1,0,68.91,793.4,0
11457,RETAIL,2.96,0,2,0.96,1,1,0,0,363.91,0
11474,COMMUNITY,0.64,0,0.16,0.48,0,0,1,0,32.62,0
11483,WINERY,41.92,0.96,16,24.96,8,5,0,72.28,4335.14,1215.85
11512,MULTIFAMIL,2.24,0.48,0.8,0.96,0,0,1,0,32.62,0
11513,WINERY,11.92,0.48,4,7.4399999999999995,2,1,0,0,890.4,75
11522,WINERY,3.44,0,2,1.44,1,1,0,0,540.19,0
11529,WINERY,3.44,0,2,1.44,1,1,0,0,363.91,0
11536,WINERY,5.92,0,0.48,5.4399999999999995,0,0,1,0,218.71,75
11554,RESTAURANT,98.32,14.879999999999999,24,59.44,12,8,1,0,5043.58,300
11563,HOA,0.64,0,0.16,0.48,0,0,1,0,33.75,0
11565,LANDSCAPER,2,0,2,0,1,1,0,0,363.91,0
11567,WINERY,8.44,0,3.5,4.9399999999999995,2,1,0,0,0,0
11570,WINERY,2.88,0.48,0.96,1.44,0,0,1,0,269.13,0
11607,FOURPLEX,2.4,0.48,0.96,0.96,0,0,1,0,142.42,0
11643,OFFICE BLD,3.44,0.48,2.48,0.48,1,1,0,0,617.13,0
11664,WINERY,50,0,6,44,3,2,0,0,1298.25,967.81
11689,OFFICE BLD,0.64,0,0.16,0.48,0,0,1,0,32.62,0
11723,WINERY,12,0,4,8,2,1,0,0,890.4,150
11728,OFFICE BLD,0.96,0,0.48,0.48,0,0,1,0,134.57,0
11731,RETAIL,1.76,0,1.28,0.48,1,0,0,0,261,0
11739,VINEYARD,4,0,4,0,2,1,0,0,1121.14,0
11750,CHURCH,2.88,0.96,0.96,0.96,0,0,1,0,97.87,0
11760,LODGING,72,0,18,54,9,6,0,0,1188.51,1041.4
11766,RESTAURANT,88,0,36,52,18,12,0,0,10117.17,2569.6
11788,MULTIFAMIL,7.92,0.48,6,1.44,3,2,0,0,1158.56,0
11806,MULTIFAMIL,4,0,4,0,2,1,0,0,793.4,0
11807,WINERY,6.96,0,2,4.96,1,1,0,0,482.56,75
11808,OFFICE BLD,0.96,0,0.48,0.48,0,0,1,0,97.87,0
11841,WINERY,4,0,4,0,2,1,0,0,1447.1,0
11850,CHURCH,1.92,0.48,0.96,0.48,0,0,1,0,97.87,0
11852,MULTIFAMIL,1.12,0.48,0.16,0.48,0,0,1,0,32.62,0
11861,WINERY,6.48,0.48,2,4,1,1,0,0,482.56,667.81
11870,WINERY,0.96,0,0.48,0.48,0,0,1,0,97.87,0
11890,RETAIL,0.96,0,0.48,0.48,0,0,1,0,97.87,0
11911,RESTAURANT,8.16,5.76,0.48,1.92,0,0,1,0,97.87,220.23
11920,MEDICAL,15.84,0,12,3.84,6,4,0,0,2596.5,0
11956,RETAIL,0.8,0,0.32,0.48,0,0,1,0,65.25,0
11972,HOA,12,0,8,4,4,3,0,0,1598.7,751.37
11994,MULTIFAMIL,4.8,0.48,2.4,1.92,1,1,0,0,101.34,0
12074,UTILITY,1.44,0.48,0.48,0.48,0,0,1,0,103.93,0
12099,DELI/CAFE,0.96,0,0.48,0.48,0,0,1,0,97.87,0
12171,CATERING,112.96,11.52,4,97.44,2,1,1,0,668.93,300
12188,MEMBER,8.96,0,8,0.96,4,3,0,0,2011.34,0
12227,WINERY,26.560000000000002,6.5600000000000005,16,4,8,5,0,605.47,3412.2,667.81
12263,CHURCH,0.48,0,0.48,0,0,0,1,0,139.98,0
12270,WINERY,5.4399999999999995,4,0,1.44,0,0,1,605.47,0,0
12276,VINEYARD,0.96,0,0.48,0.48,0,0,1,0,134.57,0
12317,MULTIFAMIL,8,0,4,4,2,1,0,0,822.1,610.5
12347,VINEYARD,2.96,0.48,2,0.48,1,1,0,0,482.56,0
12359,WINERY,12.32,0.32,0,12,0,0,1,0,0,1460.92
12379,RETAIL,0.64,0,0.16,0.48,0,0,1,0,34.64,0
12383,WINERY,0.64,0,0.16,0.48,0,0,1,0,33.75,0
12413,WINERY,7.359999999999999,0.48,0.96,5.92,0,0,1,0,97.87,148.41
12415,WINERY,12,0,6,6,3,2,0,0,1298.25,973.69
12446,WINERY,1.44,0.48,0.48,0.48,0,0,1,0,134.57,0
12469,WINERY,8.32,0.32,4,4,2,1,0,0,890.4,667.81
12470,POLICEFIRE,2.96,0,2,0.96,1,1,0,0,482.56,0
12522,CONTRACTOR,0.64,0,0.16,0.48,0,0,1,0,44.86,0
12731,OFFICE BLD,0.64,0,0.16,0.48,0,0,1,0,34.64,0
12740,OFFICE BLD,1.28,0.48,0.32,0.48,0,0,1,0,67.49,0
12752,COMMUNITY,1.28,0.48,0.32,0.48,0,0,1,0,89.71,0
12848,WINERY,1.92,0.48,0.48,0.96,0,0,1,0,134.57,0
12917,MULTIFAMIL,7.68,1.44,3.84,2.4,2,1,1,0,101.34,0
12929,LODGING-FW,61.76,5.76,36,20,18,12,0,0,7002.539999999999,2364.26
13041,OFFICE BLD,2.56,0.8,0.32,1.44,0,0,1,0,93.32,73.41
13066,OFFICE BLD,1.12,0.48,0.16,0.48,0,0,1,0,44.86,0
13130,MULTIFAMIL,1.92,0,0.96,0.96,0,0,1,0,269.14,0
13143,VINEYARD,1.1199999999999999,0,0.16,0.96,0,0,1,0,47.03,100.93
13144,LODGING,10.4,0.96,8,1.44,4,3,0,66.56,1337.86,0
13145,RESTAURANT,125.44,31.68,16,77.75999999999999,8,5,1,0,3662.88,4548.69
13340,CONTRACTOR,0.96,0,0.48,0.48,0,0,1,0,134.57,0
13431,WINERY,34.32,0.32,12,22,6,4,0,72.28,2769.3900000000003,1253.36
13452,PARK,10,0,6,4,3,2,0,0,1298.25,667.81
13457,OFFICE BLD,3.36,0.48,1.44,1.44,1,0,1,0,101.24,0
13557,RESTAURANT,208,0,80,128,40,27,0,0,15698.14,300
13636,WINERY,2.56,0.96,0.64,0.96,0,0,1,0,130.5,0
13699,RETAIL,0.96,0,0.48,0.48,0,0,1,0,97.87,0
13711,VINEYARD,4,0,4,0,2,1,0,0,1252.72,0
13720,LODGING,1.44,0.48,0.48,0.48,0,0,1,0,101.24,0
13735,WINERY,9.44,0,4,5.4399999999999995,2,1,0,0,890.4,75
13760,WINERY,2.56,0.96,0.64,0.96,0,0,1,0,130.5,0
13843,WINERY,16,0,0,16,0,0,1,0,0,150
13865,OFFICE BLD,0.96,0,0.48,0.48,0,0,1,0,97.87,0
13913,SCHOOL,6.88,0,4,2.88,2,1,0,0,727.82,0
13979,MULTIFAMIL,6.72,0,3.36,3.36,2,1,0,0,101.24,0
14030,CHURCH,0.64,0,0.16,0.48,0,0,1,0,44.86,0
14081,WINERY,24,4,16,4,8,5,0,605.47,3412.2,667.81
14177,MEDICAL,1.44,0,0.96,0.48,0,0,1,0,103.93,0
14193,MULTIFAMIL,3.92,0.48,2,1.44,1,1,0,0,439.46,0
14209,WINERY,58.559999999999995,5.12,36,17.439999999999998,18,12,0,0,7565.400000000001,150
14225,WINERY,1.92,0,0.96,0.96,0,0,1,0,134.57,0
14325,POSTOFFICE,2.4,0,0.96,1.44,0,0,1,0,101.24,75.92
14334,MULTIFAMIL,34.88,0,32,2.88,16,11,0,0,2666.26,0
14377,WINERY,43.44,12,6,25.44,3,2,1,0,973.95,150
14379,HOSPITAL,17.92,6.4,0,11.52,0,0,1,0,0,0
14381,MEDICAL,0.96,0,0.48,0.48,0,0,1,0,134.57,0
14520,WINERY,0.64,0,0.16,0.48,0,0,1,0,34.64,0
