cust,monthly_bill,qty,size,weekly_yards,commodity,pickups,bin_amount,tax_body,biz_type
4445,134.57,1,0.48,0.48,Compost,1,0,COUNTY,WINERY
4449,945.34,1,2,2,Garbage,1,540.19,COUNTY,WINERY
4449,945.34,1,2,2,Recycle,1,405.15,COUNTY,WINERY
4454,135.12,1,0.48,0.48,Compost,1,0,C,SCHOOL
4454,135.12,1,0.48,0.48,Recycle,1,0,C,SCHOOL
4477,134.57,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
4477,134.57,1,0.48,0.48,Compost,1,0,COUNTY,WINERY
4520,101.24,1,0.48,0.48,Recycle,1,0,Y,MULTIFAMIL
4520,101.24,1,0.48,0.48,Compost,1,0,Y,MULTIFAMIL
4631,370.07,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
4631,370.07,1,0.48,0.48,Compost,1,0,COUNTY,WINERY
4631,370.07,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
4631,370.07,1,0.48,0.48,Recycle,1,100.93,COUNTY,WINERY
4686,439.46,1,2,2,Garbage,1,439.46,C,STRIP MALL
4686,439.46,1,0.48,0.48,Compost,1,0,C,STRIP MALL
4686,439.46,3,0.48,1.44,Recycle,1,0,C,STRIP MALL
4780,134.57,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
4781,89.71,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
4781,89.71,1,0.48,0.48,Compost,1,0,COUNTY,WINERY
4831,69.28,2,0.48,0.96,Recycle,1,0,C,FOURPLEX
4831,69.28,2,0.48,0.96,Compost,1,0,C,FOURPLEX
4845,1373.25,1,6,6,Garbage,1,1298.25,COUNTY,UTILITY
4845,1373.25,1,6,18,Recycle,3,75,COUNTY,UTILITY
4845,1373.25,1,6,18,Recycle,3,75,COUNTY,UTILITY
4845,1373.25,1,6,18,Recycle,3,75,COUNTY,UTILITY
4859,171.28,1,0.48,0.48,Recycle,1,0,S,OFFICE BLD
4859,171.28,1,0.48,0.48,Recycle,1,73.41,S,OFFICE BLD
4963,97.87,1,0.48,0.48,Recycle,1,0,S,OFFICE BLD
5017,195.74,1,0.48,0.48,Recycle,1,0,S,RESTAURANT
5026,0,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
5026,0,1,3.5,3.5,Garbage,1,0,COUNTY,WINERY
5055,527.42,3,0.48,1.44,Recycle,1,0,COUNTY,WINERY
5055,527.42,1,2,2,Garbage,1,482.56,COUNTY,WINERY
5212,134.57,1,0.48,0.48,Recycle,1,0,COUNTY,LANDSCAPER
5311,358.85,3,0.48,1.44,Recycle,1,0,COUNTY,WINERY
5311,358.85,1,0.48,0.48,Compost,1,0,COUNTY,WINERY
5401,253.08,1,0.48,0.48,Recycle,1,0,Y,WINERY
5401,253.08,1,0.48,0.48,Recycle,1,75.92,Y,WINERY
5401,253.08,1,0.48,0.48,Recycle,1,75.92,Y,WINERY
5440,32.62,1,0.48,0.48,Recycle,1,0,S,
5492,32.62,1,0.48,0.48,Recycle,1,0,S,STRIP MALL
5504,32.62,1,0.48,0.48,Recycle,1,0,S,OFFICE BLD
5662,65.25,1,0.48,0.48,Recycle,1,0,S,RETAIL
5827,97.87,1,0.48,0.48,Recycle,1,0,S,RETAIL
5868,0,1,3.5,3.5,Garbage,1,0,COUNTY,WINERY
5868,0,1,3.5,3.5,Recycle,1,0,COUNTY,WINERY
5886,439.46,1,2,2,Garbage,1,439.46,C,
5886,439.46,1,0.48,0.48,Recycle,1,0,C,
5955,668.93,1,2,4,Garbage,2,668.93,S,
5955,668.93,1,2,4,Garbage,2,668.93,S,
6090,130.5,1,0.48,0.48,Recycle,1,0,S,UTILITY
6090,130.5,1,0.48,0.48,Compost,1,0,S,UTILITY
6204,65.25,1,0.48,0.48,Recycle,1,0,S,HOME IMPRO
6205,89.71,1,0.48,0.48,Recycle,1,0,COUNTY,CONTRACTOR
6205,89.71,1,0.48,0.48,Compost,1,0,COUNTY,CONTRACTOR
6413,665.6,1,2,2,Garbage,1,482.56,COUNTY,MIXED USE
6413,665.6,1,0.48,0.48,Compost,1,0,COUNTY,MIXED USE
6413,665.6,1,0.48,0.48,Compost,1,91.52,COUNTY,MIXED USE
6413,665.6,1,0.48,0.48,Compost,1,91.52,COUNTY,MIXED USE
6413,665.6,1,0.48,0.48,Recycle,1,0,COUNTY,MIXED USE
6542,0,1,3.5,3.5,Garbage,1,0,COUNTY,WINERY
6542,0,1,3.5,3.5,Recycle,1,0,COUNTY,WINERY
6640,514.46,1,2,2,Garbage,1,439.46,C,RESTAURANT
6640,514.46,3,0.48,1.44,Recycle,1,0,C,RESTAURANT
6640,514.46,1,0.48,0.48,Recycle,1,0,C,RESTAURANT
6640,514.46,1,0.48,0.48,Compost,1,0,C,RESTAURANT
6640,514.46,1,0.48,0.48,Recycle,1,0,C,RESTAURANT
6640,514.46,1,4,4,Recycle,1,75,C,RESTAURANT
6796,1772.84,1,4,4,Garbage,1,890.4,COUNTY,RESTAURANT
6796,1772.84,1,0.48,0.48,Recycle,1,0,COUNTY,RESTAURANT
6796,1772.84,1,0.48,0.48,Recycle,1,0,COUNTY,RESTAURANT
6796,1772.84,1,0.48,0.48,Recycle,1,0,COUNTY,RESTAURANT
6796,1772.84,1,0.48,0.48,Recycle,1,100.93,COUNTY,RESTAURANT
6796,1772.84,1,0.48,0.48,Recycle,1,100.93,COUNTY,RESTAURANT
6796,1772.84,1,0.48,0.48,Recycle,1,100.93,COUNTY,RESTAURANT
