cust,tax_body,biz_type,total_yards,garbage,recycle,needed_recycle,compost,needed_compost,enough_recycle_compost,garbage_cost,recycle_cost,compost_cost,monthly_bill
10185,S,OTHER,0.8,0.32,0.48,0,0.0,0,1,65.25,0.0,0.0,65.25
10209,C,OTHER,2.4,0.48,1.44,0,0.48,0,1,103.93,76.0,0.0,255.93
10222,C,OFFICE BLD,1.6,0.64,0.96,0,0.0,0,1,138.56,0.0,0.0,138.56
10224,C,LODGING,10.4,8.0,1.44,4,0.96,3,0,1627.98,0.0,68.91,882.9
10227,C,MEDICAL,1.28,0.32,0.48,0,0.48,0,1,69.28,0.0,0.0,69.28
10233,C,OTHER,94.88,23.36,70.08,12,1.44,8,0,33.78,0.0,0.0,4931.88
10238,C,MULTIFAMIL,0.8,0.32,0.48,0,0.0,0,1,33.78,0.0,0.0,67.56
10247,C,GROCERY,79.36,60.0,4.96,30,14.400000000000002,20,0,7194.63,610.5,0.0,3008.71
10248,S,OTHER,10.48,4.0,6.48,2,0.0,1,0,668.93,75.0,0.0,743.93
10250,S,LODGING-FW,39.84,36.0,2.4,18,1.44,12,0,5667.03,73.41,0.0,2035.83
10255,COUNTY,WINERY,31.44,24.0,7.439999999999999,12,0.0,8,0,6427.98,1233.26,0.0,4567.25
10257,S,OTHER,0.48,0.48,0.0,0,0.0,0,1,97.87,0.0,0.0,97.87
10260,C,OFFICE BLD,1.76,0.32,0.96,0,0.48,0,1,34.64,0.0,0.0,69.28
10262,S,OFFICE BLD,1.44,0.96,0.48,0,0.0,0,1,97.87,0.0,0.0,195.74
10263,S,RESTAURANT,32.0,32.0,0.0,16,0.0,11,0,5115.88,0.0,0.0,1278.97
10265,S,GROCERY,347.68,156.0,162.88,78,28.800000000000004,52,0,24514.11,746.8199999999999,0.0,6347.58
10271,S,OTHER,3.44,2.0,1.44,1,0.0,1,0,363.91,0.0,0.0,363.91
10289,S,OTHER,21.44,4.0,17.439999999999998,2,0.0,1,0,668.93,150.0,0.0,743.93
10295,S,RETAIL,3.44,2.0,1.44,1,0.0,1,0,363.91,0.0,0.0,363.91
10301,S,OTHER,1.44,0.48,0.96,0,0.0,0,1,97.87,73.41,0.0,171.28
10306,S,OFFICE BLD,0.96,0.48,0.48,0,0.0,0,1,97.87,0.0,0.0,97.87
10310,S,OFFICE BLD,0.96,0.48,0.48,0,0.0,0,1,97.87,0.0,0.0,97.87
10316,S,CONTRACTOR,2.0,2.0,0.0,1,0.0,1,0,363.91,0.0,0.0,363.91
10317,S,OTHER,9.92,2.0,6.96,1,0.96,1,0,363.91,75.0,66.56,505.47
10318,S,UTILITY,4.48,4.0,0.48,2,0.0,1,0,668.93,0.0,0.0,668.93
10321,S,OTHER,9.92,4.0,5.44,2,0.48,1,0,668.93,75.0,0.0,743.93
10323,S,MULTIFAMIL,17.919999999999998,9.76,2.88,5,5.279999999999999,3,0,766.8,0.0,0.0,1843.37
10325,S,COMMUNITY,1.44,0.48,0.48,0,0.48,0,1,97.87,0.0,0.0,97.87
10327,S,VINEYARD,0.96,0.48,0.48,0,0.0,0,1,97.87,0.0,0.0,97.87
10328,S,OTHER,43.04,16.0,18.4,8,8.64,5,1,2557.94,296.82,0.0,1500.79
10333,S,MULTIFAMIL,2.4,0.96,0.96,0,0.48,0,1,195.75,0.0,0.0,195.75
10334,S,GROCERY,3.92,2.0,1.44,1,0.48,1,0,363.91,0.0,0.0,363.91
10335,S,SCHOOL,3.92,2.0,1.44,1,0.48,1,0,363.91,0.0,0.0,363.91
10340,S,OFFICE BLD,1.44,0.48,0.48,0,0.48,0,1,97.87,0.0,0.0,97.87
10342,S,MEDICAL,5.28,3.84,0.96,2,0.48,1,0,391.48,0.0,0.0,391.48
10343,S,OTHER,26.0,12.0,10.0,6,4.0,4,1,1947.9,805.46,454.87,3208.23
10344,S,OTHER,139.51999999999998,34.4,105.12,17,0.0,11,0,32.62,0.0,0.0,7013.3
10345,S,OTHER,5.44,4.0,1.44,2,0.0,1,0,668.93,0.0,0.0,668.93
10346,S,WINERY,2.48,2.0,0.48,1,0.0,1,0,363.91,0.0,0.0,363.91
10347,S,OTHER,38.4,36.0,1.44,18,0.96,12,0,5910.75,0.0,66.56,2036.81
10348,S,MULTIFAMIL,8.0,4.0,4.0,2,0.0,1,0,668.93,501.7,0.0,1170.63
10349,S,MULTIFAMIL,3.44,2.0,0.96,1,0.48,1,0,363.91,0.0,0.0,413.91
10355,S,OFFICE BLD,5.44,4.0,0.96,2,0.48,1,0,668.93,0.0,0.0,668.93
10366,C,MULTIFAMIL,2.4,2.4,0.0,1,0.0,1,0,101.34,0.0,0.0,506.7
10368,COUNTY,LODGING-FW,10.88,4.0,4.0,2,2.88,1,1,890.4,667.81,0.0,1658.21
10373,S,CHURCH,5.52,2.0,2.4,1,1.12,1,1,363.91,0.0,0.0,363.91
10374,S,COMMUNITY,2.96,2.0,0.96,1,0.0,1,0,363.91,0.0,0.0,363.91
10378,S,CHURCH,3.44,2.0,0.48,1,0.96,1,0,363.91,0.0,66.56,430.47
10383,S,OFFICE BLD,54.48,54.0,0.48,27,0.0,18,0,8412.210000000001,0.0,0.0,2804.07
10384,S,CONTRACTOR,2.96,2.0,0.96,1,0.0,1,0,363.91,0.0,0.0,363.91
10390,Y,CHURCH,1.44,0.48,0.48,0,0.48,0,1,101.24,0.0,0.0,101.24
10394,Y,OTHER,159.68,40.16,114.24,20,5.279999999999999,13,0,134.99,0.0,0.0,8471.2
10395,Y,LODGING,21.28,16.0,4.96,8,0.32,5,0,3052.32,75.0,0.0,1601.16
10400,Y,OFFICE BLD,0.96,0.48,0.48,0,0.0,0,1,101.24,0.0,0.0,101.24
10403,Y,OTHER,17.92,1.44,16.48,1,0.0,0,1,101.24,2289.26,0.0,1548.35
10410,C,LODGING-FW,1.44,0.48,0.48,0,0.48,0,1,103.93,0.0,0.0,103.93
10411,C,LODGING,31.68,3.36,26.88,2,1.44,1,1,103.93,150.0,0.0,802.51
10418,Y,CHURCH,1.44,0.48,0.48,0,0.48,0,1,101.24,0.0,0.0,101.24
10432,Y,OTHER,19.360000000000003,16.0,1.44,8,1.92,5,0,3160.6,0.0,68.84,1649.14
10435,COUNTY,VINEYARD,5.44,4.0,1.44,2,0.0,1,0,890.4,0.0,0.0,890.4
10438,COUNTY,OTHER,14.000000000000002,6.0,5.440000000000001,3,2.56,2,1,1298.25,667.81,0.0,1966.06
10442,COUNTY,OTHER,9.44,4.0,5.440000000000001,2,0.0,1,0,917.47,667.81,0.0,1585.28
10445,COUNTY,WINERY,15.44,6.0,9.44,3,0.0,2,0,1298.25,150.0,0.0,1488.25
10448,COUNTY,OTHER,12.48,12.48,0.0,6,0.0,4,0,44.86,0.0,0.0,3499.08
10453,COUNTY,OTHER,3.92,2.0,1.44,1,0.48,1,0,482.56,0.0,0.0,482.56
10459,COUNTY,OTHER,2.48,2.0,0.48,1,0.0,1,0,482.56,0.0,0.0,482.56
10461,COUNTY,WINERY,6.24,4.0,0.96,2,1.28,1,0,890.4,0.0,0.0,890.4
10471,COUNTY,OTHER,9.44,4.0,4.48,2,0.96,1,0,890.4,75.0,0.0,965.4
10475,COUNTY,WINERY,10.96,4.0,6.96,2,0.0,1,0,890.4,75.0,0.0,965.4
10480,COUNTY,SCHOOL,1.44,0.48,0.48,0,0.48,0,1,134.57,0.0,0.0,134.57
10483,COUNTY,VINEYARD,5.44,4.0,1.44,2,0.0,1,0,890.4,0.0,0.0,890.4
10487,COUNTY,CHURCH,3.92,2.0,1.44,1,0.48,1,0,482.56,0.0,0.0,482.56
10488,COUNTY,SCHOOL,4.96,1.92,2.56,1,0.48,1,0,349.6,0.0,0.0,699.2
10490,COUNTY,SCHOOL,6.96,2.0,3.52,1,1.44,1,1,482.56,0.0,0.0,482.56
10500,S,OTHER,3.44,2.0,1.44,1,0.0,1,0,363.91,0.0,0.0,363.91
10503,COUNTY,VINEYARD,4.0,0.0,4.0,0,0.0,0,1,0.0,667.81,0.0,667.81
10507,COUNTY,WINERY,11.92,4.0,7.439999999999999,2,0.48,1,0,890.4,75.0,0.0,965.4
10510,COUNTY,VINEYARD,4.0,4.0,0.0,2,0.0,1,0,1447.1,0.0,0.0,1447.1
10512,COUNTY,WINERY,1.44,0.48,0.48,0,0.48,0,1,134.57,0.0,0.0,134.57
