COMPANY,CUST #,CYCLE,ROUTE,DAY,RTE SEQ#,QTY,SIZE,CHG CODE,FREQ,SCHEDULE,BIN #,P/U#,BIN AMT$,TAX BODY,VAR3,VAR4,FEE CODE,PRICE LIST
1,4781,CA,64,THU,1190,1,96,CR, ,---H---,2,1,0,CC,WINERY,,,CO
1,4781,CA,85,THU,405,1,96,CG, ,---H---,3,1,0,CC,WINERY,,,CO
1,4831,CA,25,THU,2390,2,CT,3, ,---H---,1,1,34.64,C,FOURPLEX,,,C
1,4831,CA,65,THU,2480,2,96,CR, ,---H---,2,1,0,C,FOURPLEX,,,C
1,4831,CA,85,THU,1345,2,96,CG, ,---H---,3,1,0,C,FOURPLEX,,,C
1,4845,CA,29,WED,40,1,6Y,T0, ,--W----,1,1,1298.25,SC,UTILITY,,,CO
1,4845,CA,49,MON,440,1,6Y,CB, ,M-W-F--,2,3,75,SC,UTILITY,,,CO
1,4845,CA,44,WED,280,1,6Y,CB, ,M-W-F--,2,3,75,SC,UTILITY,,,CO
1,4845,CA,49,FRI,10,1,6Y,CB, ,M-W-F--,2,3,75,SC,UTILITY,,,CO
1,4859,CA,25,TUE,1450,1,CT,9, ,-T-----,1,1,97.87,S,OFFICE BLD,,,S
1,4859,CA,68,TUE,510,1,96,CR, ,-T-----,2,1,0,S,OFFICE BLD,,,S
1,4859,CA,68,TUE,520,1,96,AR, ,-T-----,3,1,73.41,S,OFFICE BLD,,,S
1,4963,CA,25,TUE,540,1,CT,9, ,-T-----,1,1,97.87,S,OFFICE BLD,,,S
1,4963,CA,64,TUE,1315,1,96,CR, ,-T-----,2,1,0,S,OFFICE BLD,,,S
1,5017,CA,25,TUE,1100,2,CT,9, ,-T-----,1,1,97.87,S,RESTAURANT,,,S
1,5017,CA,64,TUE,1085,1,96,CR, ,-T-----,2,1,0,S,RESTAURANT,,,S
1,5026,CA,62,TUE,3760,1,96,CR, ,-T-----,1,1,0,SC,WINERY,,,CO
1,5026,CA,46,FRI,0,1,3Y,TH, ,----F--,2,1,0,SC,WINERY,,,CO
1,5055,CA,28,WED,1020,1,CT,3, ,--W----,1,1,44.86,SC,WINERY,,,CO
1,5055,CA,64,WED,340,3,96,CR, ,--W----,2,1,0,SC,WINERY,,,CO
1,5055,CA,23,TUE,600,1,2Y,T0, ,-T-----,3,1,482.56,SC,WINERY,,,CO
1,5212,CA,21,THU,640,1,CT,9, ,---H---,1,1,134.57,CC,LANDSCAPER,,,CO
1,5212,CA,62,THU,4085,1,96,CR, ,---H---,2,1,0,CC,LANDSCAPER,,,CO
1,5311,CA,28,WED,30,1,CT,9, ,--W----,1,1,134.57,SC,WINERY,,,CO
