CO,CUST#,TAX BODY,CYCLE,MTH$,BAL DUE,UNAPPLIED,CURRENT,30+,60+,90+,V3  BIZ TYPE,V4  SB1383,MTD,YTD,SALES ID,START DT,STOP DT,BILLING STR DT,ACT CD,FEE CODE,PRICE LIST,CREDIT LIMIT
1,19390,PV    ,CA,174.8,174.8,,174.8,0,0,0,,,0,1598.08,,5/29/2015,,5/29/2015,,,PV,
1,19429,S     ,CA,65.24,65.24,,65.24,0,0,0,,,0,592.88,,6/16/2015,,6/16/2015,,,S,
1,19486,YC    ,PA,0,0,,0,0,0,0,,,0,8629.96,,4/8/1996,,4/8/1996,,,CO,
1,19538,S     ,CA,32.62,0,,0,0,0,0,,,0,289.09,,7/7/2015,,,,,S,
1,19552,Y     ,CA,4896.78,4896.78,,4896.78,0,0,0,,,0,40910.66,,7/6/2015,,7/6/2015,,,Y,
1,19668,SC    ,CA,370.07,370.07,,370.07,0,0,0,,,0,3372.2,,8/5/2015,,8/5/2015,,,CO,
1,19713,CL    ,CA,304.02,0,,0,0,0,0,,,0,2762.64,,8/3/2015,,,,,CL,
1,19760,SC    ,CA,269.14,-17.7,,-17.7,0,0,0,,,-17.7,2360.53,,8/26/2015,,8/26/2015,,,CO,
1,19778,C     ,MA,0,0,,0,0,0,0,,,0,0,,1/2/2003,,1/2/2003,,,C,
1,19783,S     ,CA,363.91,363.91,,363.91,0,0,0,,,0,3497.08,,5/2/1995,,5/2/1995,,,S,
1,19832,S     ,CA,403.91,403.91,,403.91,0,0,0,,,0,4846.4,,5/9/1995,,,,,S,
1,19893,SC    ,CA,0,0,,0,0,0,0,,,0,218.39,,9/24/2018,,9/24/2015,,,CO,
1,19959,S     ,CA,97.87,97.87,,97.87,0,0,0,,,0,890.83,,11/20/2015,,,,,S,
1,19982,S     ,CA,97.87,0,,0,0,0,0,,,0,908.51,,10/27/2015,,,,,S,
1,20015,C     ,CA,69.28,69.28,,69.28,0,0,0,,,0,629.56,,11/12/2015,,11/12/2015,,,C,
1,20034,S     ,CA,1006.57,1006.57,,1006.57,0,0,0,,,0,9146.62,,11/9/2015,,11/9/2015,,,S,
1,20109,YC    ,CA,1040.4,1080.4,,1080.4,0,0,0,,,0,8834.8,,6/28/1995,,6/28/1995,,,CO,
1,20163,CL    ,CA,304.02,0,,0,0,0,0,,,0,2774.78,,1/7/2016,,12/21/2015,,,CL,
1,20172,CC    ,CA,482.56,0,,0,0,0,0,,,0,5687.92,,6/29/1995,,6/29/1995,,,CO,
1,20228,YC    ,CA,538.28,0,,0,0,0,0,,,0,4891.28,,1/25/2016,,1/25/2016,,,CO,
1,20233,C     ,CA,1039.3,1039.3,,1039.3,0,0,0,MULTIFAMIL,,0,9443.8,,1/27/2016,,1/27/2016,,,C,
1,20270,SC    ,CA,1193.19,1193.19,,1193.19,0,0,0,,,0,11032.68,,2/5/2016,,2/4/2016,,,CO,
1,20272,SC    ,CA,134.57,0,,0,0,0,0,,,0,1222.82,,2/9/2016,,2/4/2016,,,CO,
1,20279,SC    ,CA,0,0,,0,0,0,0,,,0,4847.83,,2/8/2016,,2/8/2016,,,CO,
1,20348,S     ,CA,97.87,0,,0,0,0,0,,,0,889.36,,3/1/2016,,3/1/2016,,,S,
1,20360,YC    ,CA,44.86,44.86,,44.86,0,0,0,,,0,407.62,,7/31/1995,,7/31/1995,,,CO,
1,20368,S     ,CA,163.12,163.12,,163.12,0,0,0,,,0,1492.63,,3/8/2016,,3/2/2016,,,S,
1,20403,SC    ,CA,179.42,67.35,,67.35,0,0,0,,,0,1623.41,,3/14/2016,,3/14/2016,,,CO,
1,20451,SC    ,CA,482.56,0,,0,0,0,0,,,0,4392.2,,3/28/2016,,3/28/2016,,,CO,
