monthly_bill,tax_body,biz_type,total_yards,garbage,recycle,needed_recycle,compost,needed_compost,enough_recycle_compost
195.74,S,RESTAURANT,1.92,0.96,0.96,0,0.0,0,1
415.72,C,LODGING,4.32,1.92,1.44,1,0.96,1,0
179.44,COUNTY,MULTIFAMIL,1.6,0.64,0.96,0,0.0,0,1
813.98,C,MINI MART,4.0,4.0,0.0,2,0.0,1,0
391.48,S,MULTIFAMIL,3.84,1.92,1.44,1,0.48,1,0
391.48,S,MULTIFAMIL,4.32,1.92,1.92,1,0.48,1,0
482.56,COUNTY,UTILITY,2.48,2.0,0.48,1,0.0,1,0
742.46,C,DELI/CAFE,20.4,2.0,6.88,1,11.52,1,1
195.74,S,COMMUNITY,1.92,0.96,0.96,0,0.0,0,1
293.61,S,MULTIFAMIL,3.36,1.44,1.44,1,0.48,0,1
65.25,S,HOME IMPRO,0.8,0.32,0.48,0,0.0,0,1
771.01,S,WINERY,9.92,4.0,5.44,2,0.48,1,0
97.87,S,AUTO,0.96,0.48,0.48,0,0.0,0,1
1040.4,COUNTY,WINERY,13.44,4.0,9.44,2,0.0,1,0
331.93,C,WINERY,2.88,0.48,2.4,0,0.0,0,1
89.71,COUNTY,WINERY,0.8,0.32,0.48,0,0.0,0,1
34.64,C,UTILITY,1.12,0.16,0.48,0,0.48,0,1
890.4,COUNTY,WINERY,5.44,4.0,1.44,2,0.0,1,0
171.28,S,WINERY,1.44,0.48,0.96,0,0.0,0,1
207.86,C,RESTAURANT,2.24,0.96,0.96,0,0.32,0,1
195.74,S,MULTIFAMIL,2.88,0.96,0.96,0,0.96,0,1
515.46,C,BAR NO FW,3.92,2.0,1.92,1,0.0,1,0
439.46,C,BAKERY,3.44,2.0,1.44,1,0.0,1,0
6969.08,Y,RESTAURANT,157.28,104.0,41.760000000000005,52,11.52,35,0
673.21,COUNTY,WINERY,4.24,2.3200000000000003,1.92,1,0.0,1,0
255.93,C,RESTAURANT,4.8,0.48,1.44,0,2.88,0,1
2015.04,C,MULTIFAMIL,16.88,14.0,2.88,7,0.0,5,0
311.79,C,RESTAURANT,2.4,1.44,0.96,1,0.0,0,0
1039.3,C,MULTIFAMIL,8.16,4.800000000000001,2.4,2,0.96,2,0
34.64,C,RETAIL,1.12,0.16,0.48,0,0.48,0,1
283.86,C,RESTAURANT,2.72,0.96,1.44,0,0.32,0,1
813.98,C,LODGING,5.92,4.0,1.44,2,0.48,1,0
415.72,C,LODGING-FW,3.84,1.92,1.44,1,0.48,1,0
97.87,S,UTILITY,1.44,0.48,0.48,0,0.48,0,1
1150.37,COUNTY,WINERY,6.960000000000001,2.0,4.960000000000001,1,0.0,1,0
1627.98,C,MULTIFAMIL,18.88,16.0,2.88,8,0.0,5,0
3536.24,Y,RESTAURANT,45.76,40.0,5.76,20,0.0,13,0
519.65,C,LODGING-FW,3.84,2.4,1.44,1,0.0,1,0
103.93,C,RESTAURANT,3.52,0.48,0.48,0,2.56,0,1
202.48,Y,POLICEFIRE,2.4,0.96,0.96,0,0.48,0,1
405.36,C,MULTIFAMIL,3.36,1.92,0.96,1,0.48,1,0
514.46,C,DELI/CAFE,9.44,2.0,7.439999999999999,1,0.0,1,0
311.79,C,RESTAURANT,5.279999999999999,1.44,0.0,1,3.84,0,0
58.27,COUNTY,RETAIL,1.12,0.16,0.48,0,0.48,0,1
101.24,Y,WINERY,1.44,0.48,0.48,0,0.48,0,1
207.86,C,PRESCHOOL,1.44,0.96,0.48,0,0.0,0,1
34.64,C,RETAIL,0.64,0.16,0.48,0,0.0,0,1
69.28,C,ENTERTAINM,0.8,0.32,0.48,0,0.0,0,1
34.64,C,BAKERY,1.12,0.16,0.48,0,0.48,0,1
102.69,C,MULTIFAMIL,1.6,0.16,0.48,0,0.96,0,1
1398.87,Y,RESTAURANT,8.0,4.0,4.0,2,0.0,1,0
482.56,COUNTY,CONTRACTOR,2.0,2.0,0.0,1,0.0,1,0
103.93,C,GROCERY,1.28,0.48,0.48,0,0.32,0,1
134.57,COUNTY,LODGING,1.44,0.48,0.48,0,0.48,0,1
130.48,S,FOURPLEX,3.04,0.64,1.92,0,0.48,0,1
171.28,S,OFFICE BLD,1.44,0.48,0.96,0,0.0,0,1
134.57,COUNTY,WINERY,1.44,0.48,0.48,0,0.48,0,1
650.33,COUNTY,VINEYARD,4.640000000000001,0.16,0.48,0,4.0,0,1
179.93,C,WINERY,1.92,0.48,0.96,0,0.48,0,1
482.56,COUNTY,LANDSCAPER,2.0,2.0,0.0,1,0.0,1,0
890.4,COUNTY,CONTRACTOR,4.0,4.0,0.0,2,0.0,1,0
202.68,C,MULTIFAMIL,1.92,0.96,0.48,0,0.48,0,1
335.71,S,MULTIFAMIL,2.88,0.96,0.96,0,0.96,0,1
134.57,COUNTY,MIXED USE,1.44,0.48,0.48,0,0.48,0,1
134.57,COUNTY,LODGING-FW,1.44,0.48,0.48,0,0.48,0,1
1456.25,COUNTY,WINERY,8.0,2.0,6.0,1,0.0,1,0
65.25,S,WINERY,0.8,0.32,0.48,0,0.0,0,1
