monthly_bill,tax_body,biz_type,total_yards,garbage,recycle,needed_recycle,compost,needed_compost,enough_recycle_compost
405.39,S,CONTRACTOR,4.32,0.0,2.4,0,1.92,0,1
1197.36,S,WINERY,27.92,6.0,21.92,3,0.0,2,0
2327.97,Y,GROCERY,97.2,36.0,55.44,18,5.76,12,0
1861.82,Y,MULTIFAMIL,29.6,16.0,8.32,8,5.280000000000001,5,1
482.56,COUNTY,CONTRACTOR,2.0,2.0,0.0,1,0.0,1,0
438.91,S,HOME IMPRO,18.0,2.0,16.0,1,0.0,1,0
515.46,C,MEDICAL,4.4,2.0,1.92,1,0.48,1,0
413.91,S,OFFICE BLD,3.44,2.0,1.44,1,0.0,1,0
363.91,S,LODGING,2.96,2.0,0.96,1,0.0,1,0
1788.94,COUNTY,WINERY,13.76,8.0,5.44,4,0.32,3,0
233.06,COUNTY,WINERY,1.12,0.64,0.48,0,0.0,0,1
1856.1,COUNTY,WINERY,24.96,16.0,8.96,8,0.0,5,0
1040.4,COUNTY,WINERY,24.0,4.0,20.0,2,0.0,1,0
32.62,S,ENTERTAINM,0.64,0.16,0.48,0,0.0,0,1
131.25,COUNTY,WINERY,1.28,0.32,0.48,0,0.48,0,1
503.88,S,OFFICE BLD,4.88,2.0,1.92,1,0.96,1,0
1040.4,COUNTY,WINERY,14.0,4.0,10.0,2,0.0,1,0
1353.97,S,OFFICE BLD,20.48,16.0,4.48,8,0.0,5,0
89.71,COUNTY,HOME IMPRO,1.28,0.32,0.48,0,0.48,0,1
134.57,COUNTY,WINERY,1.44,0.48,0.48,0,0.48,0,1
813.49,COUNTY,WINERY,14.72,2.0,11.92,1,0.8,1,0
743.93,S,UTILITY,8.48,4.0,4.48,2,0.0,1,0
202.68,C,MULTIFAMIL,3.36,0.96,1.92,0,0.48,0,1
2032.03,COUNTY,WINERY,69.92,16.0,53.92,8,0.0,5,0
482.56,COUNTY,VINEYARD,2.96,2.0,0.48,1,0.48,1,0
103.93,C,MEDICAL,0.96,0.48,0.0,0,0.48,0,1
168.9,C,MULTIFAMIL,5.6,0.8,2.4,0,2.4,0,1
7995.2,C,MOBILEHOME,213.76,30.4,92.16,15,91.2,10,1
32.62,S,RETAIL,0.16,0.16,0.0,0,0.0,0,1
1723.97,COUNTY,WINERY,14.720000000000002,8.0,6.400000000000001,4,0.32,3,0
890.4,COUNTY,WINERY,6.24,4.0,1.44,2,0.8,1,0
103.92,C,MULTIFAMIL,2.4,0.48,1.44,0,0.48,0,1
1048.95,S,SCHOOL,10.48,6.0,4.0,3,0.48,2,0
146.82,S,SCHOOL,8.96,0.0,2.4,0,6.5600000000000005,0,1
97.87,S,COMMUNITY,1.76,0.48,0.48,0,0.8,0,1
1481.22,S,WINERY,19.92,4.0,9.44,2,6.48,1,1
3698.56,COUNTY,WINERY,38.0,4.0,34.0,2,0.0,1,0
