cust,monthly_bill,tax_body,biz_type,compost,garbage,recycle,total_yards,needed_recycle,needed_compost
4831,69.28,C,FOURPLEX,0.96,0.32,0.96,2.24,0.96,0.96
4831,69.28,C,FOURPLEX,0.96,0.32,0.96,2.24,0.96,0.96
5311,358.85,COUNTY,WINERY,0.48,1.28,1.44,3.2,1.44,0.48
5311,358.85,COUNTY,WINERY,0.48,1.28,1.44,3.2,1.44,0.48
5311,358.85,COUNTY,WINERY,0.48,1.28,1.44,3.2,1.44,0.48
5311,358.85,COUNTY,WINERY,0.48,1.28,1.44,3.2,1.44,0.48
5311,358.85,COUNTY,WINERY,0.48,1.28,1.44,3.2,1.44,0.48
5401,253.08,Y,WINERY,0.32,0.48,1.44,2.24,1.44,0.32
5401,253.08,Y,WINERY,0.32,0.48,1.44,2.24,1.44,0.32
5401,253.08,Y,WINERY,0.32,0.48,1.44,2.24,1.44,0.32
5401,253.08,Y,WINERY,0.32,0.48,1.44,2.24,1.44,0.32
5401,253.08,Y,WINERY,0.32,0.48,1.44,2.24,1.44,0.32
6090,130.5,S,UTILITY,0.48,0.64,0.48,1.6,0.48,0.48
6090,130.5,S,UTILITY,0.48,0.64,0.48,1.6,0.48,0.48
6090,130.5,S,UTILITY,0.48,0.64,0.48,1.6,0.48,0.48
6090,130.5,S,UTILITY,0.48,0.64,0.48,1.6,0.48,0.48
6205,89.71,COUNTY,CONTRACTOR,0.48,0.32,0.48,1.28,0.48,0.48
6205,89.71,COUNTY,CONTRACTOR,0.48,0.32,0.48,1.28,0.48,0.48
6205,89.71,COUNTY,CONTRACTOR,0.48,0.32,0.48,1.28,0.48,0.48
6413,665.6,COUNTY,MIXED USE,1.44,2,0.48,3.92,0.48,1.44
6413,665.6,COUNTY,MIXED USE,1.44,2,0.48,3.92,0.48,1.44
6413,665.6,COUNTY,MIXED USE,1.44,2,0.48,3.92,0.48,1.44
6413,665.6,COUNTY,MIXED USE,1.44,2,0.48,3.92,0.48,1.44
6413,665.6,COUNTY,MIXED USE,1.44,2,0.48,3.92,0.48,1.44
6640,514.46,C,RESTAURANT,6.24,2,6.4,14.64,6.4,6.24
6640,514.46,C,RESTAURANT,6.24,2,6.4,14.64,6.4,6.24
6640,514.46,C,RESTAURANT,6.24,2,6.4,14.64,6.4,6.24
6640,514.46,C,RESTAURANT,6.24,2,6.4,14.64,6.4,6.24
6640,514.46,C,RESTAURANT,6.24,2,6.4,14.64,6.4,6.24
6640,514.46,C,RESTAURANT,6.24,2,6.4,14.64,6.4,6.24
6640,514.46,C,RESTAURANT,6.24,2,6.4,14.64,6.4,6.24
6640,514.46,C,RESTAURANT,6.24,2,6.4,14.64,6.4,6.24
6640,514.46,C,RESTAURANT,6.24,2,6.4,14.64,6.4,6.24
6796,1772.84,COUNTY,RESTAURANT,17.28,4,69.28,90.56,69.28,17.28
6796,1772.84,COUNTY,RESTAURANT,17.28,4,69.28,90.56,69.28,17.28
6796,1772.84,COUNTY,RESTAURANT,17.28,4,69.28,90.56,69.28,17.28
6796,1772.84,COUNTY,RESTAURANT,17.28,4,69.28,90.56,69.28,17.28
6796,1772.84,COUNTY,RESTAURANT,17.28,4,69.28,90.56,69.28,17.28
6796,1772.84,COUNTY,RESTAURANT,17.28,4,69.28,90.56,69.28,17.28
6796,1772.84,COUNTY,RESTAURANT,17.28,4,69.28,90.56,69.28,17.28
6796,1772.84,COUNTY,RESTAURANT,17.28,4,69.28,90.56,69.28,17.28
6796,1772.84,COUNTY,RESTAURANT,17.28,4,69.28,90.56,69.28,17.28
6796,1772.84,COUNTY,RESTAURANT,17.28,4,69.28,90.56,69.28,17.28
6796,1772.84,COUNTY,RESTAURANT,17.28,4,69.28,90.56,69.28,17.28
6796,1772.84,COUNTY,RESTAURANT,17.28,4,69.28,90.56,69.28,17.28
6796,1772.84,COUNTY,RESTAURANT,17.28,4,69.28,90.56,69.28,17.28
6796,1772.84,COUNTY,RESTAURANT,17.28,4,69.28,90.56,69.28,17.28
6796,1772.84,COUNTY,RESTAURANT,17.28,4,69.28,90.56,69.28,17.28
6796,1772.84,COUNTY,RESTAURANT,17.28,4,69.28,90.56,69.28,17.28
8041,134.57,COUNTY,LODGING,0.48,0.48,0.48,1.44,0.48,0.48
8041,134.57,COUNTY,LODGING,0.48,0.48,0.48,1.44,0.48,0.48
8041,134.57,COUNTY,LODGING,0.48,0.48,0.48,1.44,0.48,0.48
8045,179.42,COUNTY,WINERY,0.96,0.64,0.96,2.56,0.96,0.96
8045,179.42,COUNTY,WINERY,0.96,0.64,0.96,2.56,0.96,0.96
8045,179.42,COUNTY,WINERY,0.96,0.64,0.96,2.56,0.96,0.96
8045,179.42,COUNTY,WINERY,0.96,0.64,0.96,2.56,0.96,0.96
8045,179.42,COUNTY,WINERY,0.96,0.64,0.96,2.56,0.96,0.96
8045,179.42,COUNTY,WINERY,0.96,0.64,0.96,2.56,0.96,0.96
8063,1048.95,S,GROCERY,2.56,18,37.44,58,37.44,2.56
8063,1048.95,S,GROCERY,2.56,18,37.44,58,37.44,2.56
8063,1048.95,S,GROCERY,2.56,18,37.44,58,37.44,2.56
8063,1048.95,S,GROCERY,2.56,18,37.44,58,37.44,2.56
8063,1048.95,S,GROCERY,2.56,18,37.44,58,37.44,2.56
8063,1048.95,S,GROCERY,2.56,18,37.44,58,37.44,2.56
8063,1048.95,S,GROCERY,2.56,18,37.44,58,37.44,2.56
8063,1048.95,S,GROCERY,2.56,18,37.44,58,37.44,2.56
8063,1048.95,S,GROCERY,2.56,18,37.44,58,37.44,2.56
8141,540.19,COUNTY,WINERY,0.48,2,1.44,3.92,1.44,0.48
8141,540.19,COUNTY,WINERY,0.48,2,1.44,3.92,1.44,0.48
8141,540.19,COUNTY,WINERY,0.48,2,1.44,3.92,1.44,0.48
8141,540.19,COUNTY,WINERY,0.48,2,1.44,3.92,1.44,0.48
8141,540.19,COUNTY,WINERY,0.48,2,1.44,3.92,1.44,0.48
8212,269.13,S,MULTIFAMIL,1.44,0.96,3.36,5.76,3.36,1.44
8212,269.13,S,MULTIFAMIL,1.44,0.96,3.36,5.76,3.36,1.44
8212,269.13,S,MULTIFAMIL,1.44,0.96,3.36,5.76,3.36,1.44
8212,269.13,S,MULTIFAMIL,1.44,0.96,3.36,5.76,3.36,1.44
8213,65.24,S,DUPLEX,0.48,0.32,0.96,1.76,0.96,0.48
8213,65.24,S,DUPLEX,0.48,0.32,0.96,1.76,0.96,0.48
8213,65.24,S,DUPLEX,0.48,0.32,0.96,1.76,0.96,0.48
8213,65.24,S,DUPLEX,0.48,0.32,0.96,1.76,0.96,0.48
8213,65.24,S,DUPLEX,0.48,0.32,0.96,1.76,0.96,0.48
8327,89.71,COUNTY,WINERY,0.48,0.32,0.48,1.28,0.48,0.48
8327,89.71,COUNTY,WINERY,0.48,0.32,0.48,1.28,0.48,0.48
8327,89.71,COUNTY,WINERY,0.48,0.32,0.48,1.28,0.48,0.48
8626,89.71,COUNTY,WINERY,0.48,0.32,0.48,1.28,0.48,0.48
8626,89.71,COUNTY,WINERY,0.48,0.32,0.48,1.28,0.48,0.48
8626,89.71,COUNTY,WINERY,0.48,0.32,0.48,1.28,0.48,0.48
8747,583.49,COUNTY,WINERY,0.48,2,1.92,4.4,1.92,0.48
8747,583.49,COUNTY,WINERY,0.48,2,1.92,4.4,1.92,0.48
8747,583.49,COUNTY,WINERY,0.48,2,1.92,4.4,1.92,0.48
8747,583.49,COUNTY,WINERY,0.48,2,1.92,4.4,1.92,0.48
8747,583.49,COUNTY,WINERY,0.48,2,1.92,4.4,1.92,0.48
8747,583.49,COUNTY,WINERY,0.48,2,1.92,4.4,1.92,0.48
8800,304.02,C,MULTIFAMIL,0.48,1.44,0.96,2.88,0.96,0.48
8800,304.02,C,MULTIFAMIL,0.48,1.44,0.96,2.88,0.96,0.48
8800,304.02,C,MULTIFAMIL,0.48,1.44,0.96,2.88,0.96,0.48
8800,304.02,C,MULTIFAMIL,0.48,1.44,0.96,2.88,0.96,0.48
8800,304.02,C,MULTIFAMIL,0.48,1.44,0.96,2.88,0.96,0.48
8800,304.02,C,MULTIFAMIL,0.48,1.44,0.96,2.88,0.96,0.48
8818,370.07,COUNTY,WINERY,0.48,0.96,0.96,2.4,0.96,0.48
8818,370.07,COUNTY,WINERY,0.48,0.96,0.96,2.4,0.96,0.48
8818,370.07,COUNTY,WINERY,0.48,0.96,0.96,2.4,0.96,0.48
8818,370.07,COUNTY,WINERY,0.48,0.96,0.96,2.4,0.96,0.48
8818,370.07,COUNTY,WINERY,0.48,0.96,0.96,2.4,0.96,0.48
8959,844.48,COUNTY,WINERY,0.96,2,2,4.96,2,0.96
8959,844.48,COUNTY,WINERY,0.96,2,2,4.96,2,0.96
8959,844.48,COUNTY,WINERY,0.96,2,2,4.96,2,0.96
8959,844.48,COUNTY,WINERY,0.96,2,2,4.96,2,0.96
9121,1624.18,COUNTY,WINERY,0.48,6,33.92,40.400000000000006,33.92,0.48
9121,1624.18,COUNTY,WINERY,0.48,6,33.92,40.400000000000006,33.92,0.48
9121,1624.18,COUNTY,WINERY,0.48,6,33.92,40.400000000000006,33.92,0.48
9121,1624.18,COUNTY,WINERY,0.48,6,33.92,40.400000000000006,33.92,0.48
9121,1624.18,COUNTY,WINERY,0.48,6,33.92,40.400000000000006,33.92,0.48
9121,1624.18,COUNTY,WINERY,0.48,6,33.92,40.400000000000006,33.92,0.48
9121,1624.18,COUNTY,WINERY,0.48,6,33.92,40.400000000000006,33.92,0.48
9121,1624.18,COUNTY,WINERY,0.48,6,33.92,40.400000000000006,33.92,0.48
9121,1624.18,COUNTY,WINERY,0.48,6,33.92,40.400000000000006,33.92,0.48
9121,1624.18,COUNTY,WINERY,0.48,6,33.92,40.400000000000006,33.92,0.48
9195,134.57,COUNTY,WINERY,0.48,0.48,0.48,1.44,0.48,0.48
9195,134.57,COUNTY,WINERY,0.48,0.48,0.48,1.44,0.48,0.48
9195,134.57,COUNTY,WINERY,0.48,0.48,0.48,1.44,0.48,0.48
9368,1638.21,COUNTY,WINERY,0.96,4,4,8.96,4,0.96
9368,1638.21,COUNTY,WINERY,0.96,4,4,8.96,4,0.96
9368,1638.21,COUNTY,WINERY,0.96,4,4,8.96,4,0.96
9368,1638.21,COUNTY,WINERY,0.96,4,4,8.96,4,0.96
9376,1185.33,S,RESTAURANT,44.32000000000001,0,6,50.32000000000001,6,44.32000000000001
9376,1185.33,S,RESTAURANT,44.32000000000001,0,6,50.32000000000001,6,44.32000000000001
9376,1185.33,S,RESTAURANT,44.32000000000001,0,6,50.32000000000001,6,44.32000000000001
9376,1185.33,S,RESTAURANT,44.32000000000001,0,6,50.32000000000001,6,44.32000000000001
9376,1185.33,S,RESTAURANT,44.32000000000001,0,6,50.32000000000001,6,44.32000000000001
9784,134.57,COUNTY,VINEYARD,0.48,0.48,0.48,1.44,0.48,0.48
9784,134.57,COUNTY,VINEYARD,0.48,0.48,0.48,1.44,0.48,0.48
9784,134.57,COUNTY,VINEYARD,0.48,0.48,0.48,1.44,0.48,0.48
9920,2317.12,C,MULTIFAMIL,0.48,24,1.92,26.4,1.92,0.48
9920,2317.12,C,MULTIFAMIL,0.48,24,1.92,26.4,1.92,0.48
9920,2317.12,C,MULTIFAMIL,0.48,24,1.92,26.4,1.92,0.48
9920,2317.12,C,MULTIFAMIL,0.48,24,1.92,26.4,1.92,0.48
9920,2317.12,C,MULTIFAMIL,0.48,24,1.92,26.4,1.92,0.48
9920,2317.12,C,MULTIFAMIL,0.48,24,1.92,26.4,1.92,0.48
9928,269.14,COUNTY,CHURCH,0.48,0.96,0.48,1.92,0.48,0.48
9928,269.14,COUNTY,CHURCH,0.48,0.96,0.48,1.92,0.48,0.48
9928,269.14,COUNTY,CHURCH,0.48,0.96,0.48,1.92,0.48,0.48
9964,276.77,C,MEDICAL,0.96,0.96,0.48,2.4,0.48,0.96
9964,276.77,C,MEDICAL,0.96,0.96,0.48,2.4,0.48,0.96
9964,276.77,C,MEDICAL,0.96,0.96,0.48,2.4,0.48,0.96
9964,276.77,C,MEDICAL,0.96,0.96,0.48,2.4,0.48,0.96
9964,276.77,C,MEDICAL,0.96,0.96,0.48,2.4,0.48,0.96
10065,2816.91,COUNTY,WINERY,2.4,6,8,16.4,8,2.4
10065,2816.91,COUNTY,WINERY,2.4,6,8,16.4,8,2.4
10065,2816.91,COUNTY,WINERY,2.4,6,8,16.4,8,2.4
