cust,monthly_bill,cycle,qty,size,commodity,pickups,bin_amount,tax_body,biz_type
11436,892.19,CA,1,0.48,Recycle,1,73.41,S,WINERY
11436,892.19,CA,1,0.48,Compost,1,0,S,WINERY
11451,862.31,CA,1,4,Garbage,1,793.4,C,MULTIFAMIL
11451,862.31,CA,1,0.48,Recycle,1,0,C,MULTIFAMIL
11451,862.31,CA,1,0.48,Recycle,1,0,C,MULTIFAMIL
11451,862.31,CA,1,0.48,Compost,1,0,C,MULTIFAMIL
11451,862.31,CA,1,0.48,Compost,1,68.91,C,MULTIFAMIL
11457,363.91,CA,1,2,Garbage,1,363.91,S,RETAIL
11457,363.91,CA,2,0.48,Recycle,1,0,S,RETAIL
11474,32.62,CA,1,0.16,Garbage,1,32.62,S,COMMUNITY
11474,32.62,CA,1,0.48,Recycle,1,0,S,COMMUNITY
11483,3450.26,CA,1,4,Garbage,2,2167.57,COUNTY,WINERY
11483,3450.26,CA,1,4,Garbage,2,2167.57,COUNTY,WINERY
11483,3450.26,CA,1,0.48,Recycle,1,0,COUNTY,WINERY
11483,3450.26,CA,1,0.48,Recycle,1,0,COUNTY,WINERY
11483,3450.26,CA,1,4,Recycle,1,840.85,COUNTY,WINERY
11483,3450.26,CA,3,0.32,Compost,1,72.28,COUNTY,WINERY
11483,3450.26,CA,1,4,Recycle,2,150,COUNTY,WINERY
11483,3450.26,CA,1,4,Recycle,2,150,COUNTY,WINERY
11483,3450.26,CA,1,4,Recycle,1,75,COUNTY,WINERY
11512,163.1,CA,5,0.16,Garbage,1,32.62,S,MULTIFAMIL
11512,163.1,CA,2,0.48,Recycle,1,0,S,MULTIFAMIL
11512,163.1,CA,1,0.48,Compost,1,0,S,MULTIFAMIL
11513,965.4,CA,1,4,Garbage,1,890.4,COUNTY,WINERY
11513,965.4,CA,1,0.48,Recycle,1,0,COUNTY,WINERY
11513,965.4,CA,1,0.48,Recycle,1,0,COUNTY,WINERY
11513,965.4,CA,1,0.48,Recycle,1,0,COUNTY,WINERY
11513,965.4,CA,1,6,Recycle,1,75,COUNTY,WINERY
11513,965.4,CA,1,0.48,Compost,1,0,COUNTY,WINERY
11522,540.19,CA,1,2,Garbage,1,540.19,COUNTY,WINERY
11522,540.19,CA,1,0.48,Recycle,1,0,COUNTY,WINERY
11522,540.19,CA,1,0.48,Recycle,1,0,COUNTY,WINERY
11522,540.19,CA,1,0.48,Recycle,1,0,COUNTY,WINERY
11529,363.91,CA,1,2,Garbage,1,363.91,S,WINERY
